Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Fe2_FeT|Fe2O3_TiO2|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
FREY et al.,2011|s.26-78B-2|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.6125|0.7024125|14.80125|0.0704375|8.4475|0.1468625|9.7225|12.025|1.8325|0.0930875||0.068125||||0.96258234684818|0.5|50.2009489267249|0.605936931451451|12.7189730232808|0.065071427608434|0.301384218517011|8.49719322547958|0.146948423995656|15.3898125036438|10.3628463798644|1.57254200468363|0.07988213034706||0.058460804403314|1343.86002230289|1445.25354597684|0.91100804639668|0.282719184877027|3.3|1|Harzburgite
FREY et al.,2011|s.26-80B|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.85|0.7003|14.815|0.0875625|8.5475|0.1639875|9.67375|11.95875|1.7875|0.09795||0.0674375||||0.963131324948816|0.5|50.1993658386824|0.596680593318032|12.5712541375535|0.080231845241062|0.296676969195742|8.59660874454631|0.16348195227948|15.6628610229506|10.178185905571|1.51452258299983|0.082991601121585||0.057138806540448|1349.04386907048|1452.35050716075|0.911331784400764|0.28765840145936|3.3|1|Harzburgite
FREY et al.,2011|s.26-80P|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.9044444444444|0.711633333333333|14.8422222222222|0.074322222222222|8.42333333333333|0.151822222222222|9.73444444444444|12|1.83555555555556|0.096466666666667||0.064477777777778||||0.961982390185991|0.5|50.3374846556648|0.613620016251233|12.7492690096273|0.068559783446694|0.30523396916171|8.44513214837769|0.151537960845612|15.2795113081363|10.3369724672445|1.57461400863474|0.082753019509484||0.055311653099924|1341.7311809131|1442.3830922842|0.91074871230237|0.283349849452634|3.3|1|Harzburgite
FREY et al.,2011|s.26-81D|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.9471428571429|0.701442857142857|14.82|0.095685714285714|8.55428571428571|0.153885714285714|9.47|11.9471428571429|1.78571428571429|0.096557142857143||0.070314285714286||||0.963100450901804|0.5|50.2376990314798|0.593048145639995|12.4757801762473|0.087358026941444|0.294780744714364|8.64108484567953|0.153610027616597|15.786054619234|10.0894395190712|1.50088972075093|0.081156108980444||0.059099033644288|1351.47274391467|1455.54840239301|0.911450784656318|0.290148433007892|3.3|1|Harzburgite
FREY et al.,2011|s.26-86B-B|60|17|-17.9808|88.7926|NINETYEAST RIDGE / NINETYEAST RIDGE / DREDGE 26 / INDIAN OCEAN|SUBMARINE RIDGE|51.896|0.70164|14.878|0.07689|8.533|0.138|9.661|12.01|1.839|0.09776||0.07577||||0.962998007734677|0.5|50.187312391419|0.597894551388648|12.6266365683845|0.070421040136896|0.297298195437578|8.56836911848849|0.137449331656766|15.5859066166843|10.223217809618|1.55843846248705|0.082845537842705||0.064210376456033|1347.88496919183|1450.3516084918|0.911285024230636|0.285685304897181|3.3|1|Harzburgite
MALINOVSKY et al.,2008|s.KM-514|122|23|45.785|136.755|SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / EASTERN SIKHOTE-ALIN BELT - CRETACEOUS-PALEOGENE / PACIFIC OCEAN|CONVERGENT MARGIN|48.4|0.83|17.7||7.11|0.13|5.47|12.4|2.5|1.7||0.35|4.44|0.32|33.4|0.94746835443038|0.5|48.3839957256274|0.713471666127315|15.137936937892||0.354490261834624|7.80834440887114|0.142045794286395|12.9154855880781|10.6576496381323|2.13548350502786|1.45212878341894||0.2989676907039|1312.57122961013|1380.37086730906|0.90788316154895|0.133252790458342|2.7|1.5|Spinel Peridotite
BRYANT et a.,2011|s.6022|1.3|1.3|55.6819|160.2395|KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / TOLBACHIK / PACIFIC OCEAN|CONVERGENT MARGIN|51.25|0.95|13.81||8.67|0.18|9.8|11.88|2.42|0.84||0.21|1.56|0.11|15.5|0.950692041522491|0.5|49.689001111943|0.816342344544749|11.8216788517181||0.4060657933251|8.52114381195117|0.179157552281659|15.4017767248956|10.1984163296815|2.06879835757209|0.718095297669649||0.179523824417412|1356.52410754705|1445.5647773242|0.912654285097258|0.276174718826492|3.3|1|Harzburgite
BRYANT et a.,2011|s.B15-88/6|1.3|1.3|46.758|150.65|KURILE ARC / UNNAMED SEAMOUNT (KURILE ARC) / PACIFIC OCEAN|SEAMOUNT|49.71|0.84|15.91||8.17|0.17|10.52|11.31|2.4|0.82||0.16|2.15|0.14|13.9|0.953733170134639|0.5|48.9532907334719|0.773432045804003|14.6177358580897||0.385633656795405|7.9535623282672|0.170034668716015|13.6345724965982|10.4083054504279|2.20362089597374|0.75290380612436||0.146908059731583|1322.02164260064|1399.33304176085|0.90959261459293|0.203374578187006|3|1.2|Spinel Peridotite
BRYANT et a.,2011|s.B25-25/3|1.3|1.3|45.883|148.717|KURILE ARC / UNNAMED SEAMOUNT (KURILE ARC) / PACIFIC OCEAN|SEAMOUNT|49.73|0.96|16.45||8.33|0.15|9.48|11.41|2.35|0.95||0.19|2.57|0.17|18.5|0.948139255702281|0.5|48.6093779811721|0.847261241164912|14.470756397421||0.421832424264619|8.17616825245262|0.150436905097646|14.1945450608369|10.0625484861662|2.06522124379553|0.834876673023723||0.166975334604745|1333.9131179992|1414.03923954327|0.910619297651278|0.215534456810783|3|1.2|Spinel Peridotite
BRYANT et a.,2011|s.B25-36/1|1.3|1.3|48.2|153.525|KURILE ARC / UNNAMED SEAMOUNT (KURILE ARC) / PACIFIC OCEAN|SEAMOUNT|50.19|0.72|14.8||8.13|0.21|10.29|12.68|2.19|0.64||0.13|1.68|0.11|10.7|0.960147601476015|0.5|49.3131817067539|0.656187845276029|13.4555785389461||0.327054499107024|8.00018576754987|0.210179898495422|13.7990912061068|11.5494257673293|1.98958153623439|0.581430220634708||0.118103013566425|1318.60784936376|1403.65915537304|0.909651558328277|0.215035193362509|3|1.1|Spinel Peridotite
VILLAGOMEZ et al.,2011|s.DV111|105.5|39.5|3.4187|-76.1863|CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / AMAIME FORMATION / PACIFIC OCEAN|OCEANIC PLATEAU|49.59|0.84|14.36|0.07|9.49|0.18|9.04|12.73|1.55|0.08|0.02|0.07|3.54|0.2|1.2|0.960168598524763|0.5|48.2044342216738|0.662650246881928|11.2607710975763|0.061572917432251|0.32844026657601|9.62112709127693|0.178769539206935|18.206542012365|10.0248090263351|1.21210098379242|0.062560050776383|0.121482501677508|0.054740044429335|1397.41835485913|1517.86293510161|0.916420407675831|0.296006735015043|4|1.2|Harzburgite
VILLAGOMEZ et al.,2011|s.DV75|105.5|39.5|5.8954|-75.9016|CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / BARROSO FORMATION / PACIFIC OCEAN|OCEANIC PLATEAU|50.12|0.97|13.81|0.07|9.243|0.18|7.7|13.27|1.88|0.07|0.02|0.08|5.23|0.34|1.34|0.952775073028238|0.5|48.5316882889504|0.743591521862043|10.5132399388294|0.06096790853954|0.368131850313002|9.58211748723294|0.181594997137136|18.1360310268384|10.1543536663167|1.4269853166772|0.053132432003939|0.187442785866247|0.060722779433073|1399.628657389|1516.06157516944|0.91622963699309|0.298439931672083|4|1.3|Harzburgite
KEIDING et al.,2011|s.Q22|128.5|3.5|21.976|-15.132|ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / HENTIES-BAY - OUTJO DIKE SWARM|CONTINENTAL FLOOD BASALT|46.37|0.76|12.7||9.88|0.17|15.41|10.28|1.56|0.35||0.1||||0.965384615384615|0.5|47.0949105943059|0.732341266855023|12.2232598828258||0.365411357481031|9.71135735838985|0.171550562854353|17.8669140479271|9.90142117005341|1.50010978334318|0.33656309241674||0.09616088354764|1396.06575780895|1509.17870589265|0.91582313573751|0.239931152392451|2.8|2|Spinel Peridotite
LEE et al.,2012|s.T042D|49.3||29.96|91.165|CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET / LINZIZONG VOLCANIC SUCCESSION - PANA FORMATION|INTRAPLATE VOLCANICS|45.22|0.9|13.03||8.92|0.18|14.31|10.65|1.63|0.58||0.33|12|0.61|15.7|0.954596412556054|0.5|47.1611955987992|0.933254442038148|13.5094180307343||0.466520757775603|8.88915286564145|0.187696213950112|15.1765652082378|11.0429463833789|1.68984185594274|0.601293421132998||0.342115222368775|1348.47783235831|1439.70220190793|0.910284201936729|0.135199407120508|3.3|2|Spinel Peridotite
WAIGHT & BAKER 2012|s.404262|55||69|-27.83|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / EAST GREENLAND / MILNE LAND FORMATION|CONTINENTAL FLOOD BASALT|46.31|0.8|12.86||10.004|0.18|14.26|10.92|1.33|0.04||0.07|0.95|0.13|0.75|0.964014394242303|0.5|47.0456358499117|0.736358940528124|11.8103695915638||0.366738456395289|9.85949752310739|0.180828138025908|18.637506743712|10.0428063137327|1.21940536751434|0.036673845639529||0.064179229869176|1403.60061138669|1528.85473362992|0.917908325770387|0.281806011448738|4|2|Harzburgite
WAIGHT & BAKER 2012|s.404263|55||69|-27.83|NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / EAST GREENLAND / MILNE LAND FORMATION|CONTINENTAL FLOOD BASALT|48.31|0.99|14.75||9.729|0.18|9.17|12.84|1.78|0.05||0.09|0.92|0.45|0.7|0.954209065679926|0.5|47.2943721690859|0.784000697502759|11.6122107946717||0.388614691983646|9.74634798343512|0.178897272843874|18.3376240307193|10.1505784029727|1.39744273076947|0.039254009291277||0.070657216724299|1399.90460845962|1521.20949705084|0.917338115266421|0.279021455919111|4|2|Harzburgite
YAO et al.,2012|s.10GD21-3|435||24.8208|113.9094|CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / GUANGDONG PROVINCE / CHAYUANSHAN VOLCANIC SUCCESSION|INTRAPLATE VOLCANICS|50.2|0.64|10.7||7.95|0.17|13.8|10.72|0.37|1.4||0.18|4.43|0.25|54.7|0.963773584905661|0.5|52.1620446158853|0.663188165994643|11.0867621867309||0.331553267615248|7.97149491951359|0.176701661486677|14.479755966417|11.1080964918263|0.38335846568013|1.45054554581671||0.186498713033577|1322.21177620982|1421.50930068038|0.908510421124053|0.326264753530312|3|1|Harzburgite
YAO et al.,2012|s.10GD21-4|435||24.8208|113.9094|CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / GUANGDONG PROVINCE / CHAYUANSHAN VOLCANIC SUCCESSION|INTRAPLATE VOLCANICS|48.8|0.71|11.7||8.83|0.15|14.2|9.95|0.64|0.72||0.18|5|0.32|33.8|0.963773584905661|0.5|50.3505897385361|0.702644249548432|11.5659498224072||0.351106428134414|8.88449954116007|0.154805821382102|16.6261239616686|9.84297664340263|0.632230148056306|0.711258916563344||0.177814729140836|1363.41577291661|1477.28719347266|0.91239763205495|0.31888810410034|3.5|1|Harzburgite
MARK et al.,1975|s.54-NC-93|14.15|8.85|41.9967|-115.39|BASIN AND RANGE - GREAT BASIN / GREAT BASIN / NEVADA|RIFT VOLCANICS|48.11|0.96|16.8||9.36|0.183|9.65|11.98|2.13|0.15||0.09||0.204|1.92|0.953846153846154|0.5|47.0337785826346|0.805123247343352|14.0269920484003||0.400084136848156|9.24194003453806|0.182010718189071|16.299638674005|10.0350171323538|1.77537335726369|0.125026292765049||0.075015775659029|1367.35947053913|1468.85269552068|0.912650613273664|0.182531330019828|3.5|2|Spinel Peridotite
MARK et al.,1975|s.E-15|14.15|8.85|41.95|-114.5983|BASIN AND RANGE - GREAT BASIN / GREAT BASIN / NEVADA|RIFT VOLCANICS|48|1.19|17||9.52|0.18|8.8|12.02|2.09|0.2||0.14||0.257|2.63|0.94375|0.5|46.7866912885753|0.96370710752497|13.6933284425466||0.47827271659424|9.41933645076657|0.179600169710152|16.8052758404322|9.72050613288525|1.679983155768|0.160763938351005||0.112534756845703|1377.32341481485|1481.90783616623|0.913687834919365|0.195904561541485|3.6|2|Spinel Peridotite
JAHN et al.,1980|s.441985-5|105.5|39.5|25.035|-68.058|BERMUDA RISE / BERMUDA RISE / SITE 418 / ATLANTIC OCEAN|OCEANIC PLATEAU|48.33|1.18|15.24||9.17|0.15|7.97|13.07|2.06|0||0.15|||0.427|0.942093784078517|0.5|47.5750378412499|0.948060979037946|12.1703136890318||0.470069585552811|9.35805177546825|0.153005721559331|17.0795905588167|10.485100723738|1.6412599088793|0||0.119509216665969|1378.52956119022|1488.97244723498|0.914780104862199|0.243566396455129|3.7|1.8|Spinel Peridotite
LABANIEH et al.,2012|s.IAR|0.64||14.533|-61.067|LESSER ANTILLES / LESSER ANTILLES / MARTINIQUE / TROIS ILETS / CARIBBEAN SEA / ATLANTIC OCEAN|CONVERGENT MARGIN|47.7|0.75|15.5||8.68|0.16|12.4|11.15|2.03|0.29||0.07|0.562|0.0414|3.75|0.961117511520737|0.5|47.8815593919756|0.718995217418841|14.8394268928933||0.358828533491509|8.50150639607744|0.161204636160151|14.5667474106973|10.6847976678334|1.9424584613007|0.2774940659001||0.066981326251748|1333.87489878575|1423.78500501527|0.909879796081454|0.16504611524908|3.1|1.6|Spinel Peridotite
MAIER et al.,2013|s.12-PTP-03|2795|45|64.24|29.1|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|45.3|0.54|10.6||10.81|0.195|15.8|10.04|0.78|0.299||0.035|1.12|0.09|9.29|0.977520814061055|0.5|46.8672061484023|0.485331474788957|9.50359216289054||0.24132052582029|10.806515133873|0.195609827869464|21.8902991973495|9.01445491506595|0.697148185703062|0.267240137852841||0.031282290384112|1458.01082105309|1610.81100033244|0.923371886098646|0.346358217540958|5.5|3|Harzburgite
MAIER et al.,2013|s.KUHMO|2815|65|64|29.5|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|45.8|0.39|14.2||9.03|0.177|12.4|11.1|1.49|0.222||0.037|0.79|0.03|6.69|0.980564784053156|0.5|47.4553824398084|0.367483417825025|13.3470662007916||0.183041780391946|9.34582894078916|0.183027580811194|17.0261001851879|10.4503254856486|1.39862693735385|0.208386026907754||0.034731004484626|1375.84851708294|1487.59586594502|0.914653476199121|0.240714796307515|3.6|1.8|Spinel Peridotite
VAN KRANENDONK et al.,2013|s.190551|2767.5|32.5|-26.95|118.525|WEST AUSTRALIAN CRATON / YILGARN CRATON / WEST YILGARN SUPERTERRANE / MURCHISON DOMAIN - POLELLE GROUP|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.81|0.829|14.167||10.79|0.187|7.136|13.215|1.198|0.117||0.077||||0.965426320667284|0.5|46.6235527209072|0.536233274541417|9.07709544935484||0.263850689108282|11.0688957986241|0.179752999364178|22.8404961603972|8.52404290953931|0.762588963936601|0.074476551569768||0.049014482657027|1473.91115350656|1634.4163759397|0.925072762814545|0.36061094378223|6|3.5|Harzburgite
TILL et al.,2013|s.1568J|10.5|5.25|43.58|-120.47|YELLOWSTONE-SNAKE RIVER PLAIN VOLCANIC PROVINCE / COLUMBIA PLATEAU-BLUE MOUNTAINS PROVINCE / HIGH LAVA PLAINS VOLCANIC FIELD|CONTINENTAL FLOOD BASALT|48.1449672|0.9548946|17.4850038||8.6836167|0.1594197|9.5687757|11.8412217|2.4435477|0.0939114||0.0863676||||0.950515714264541|0.5|47.4153184265997|0.844409718076327|15.4106874090393||0.42037061202206|8.56042168763587|0.160359825782987|14.4153735273893|10.4628988329334|2.15143250816184|0.082684712415063||0.076042739944024|1332.55355683523|1419.82423139287|0.908974714246944|0.124869988747101|3|2|Spinel Peridotite
CALLEGARO et al.,2013|s.CS36|198.5|3.5|34.5218|-80.9247|CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / UNITED STATES / COASTAL NEW ENGLAND DIKES|CONTINENTAL FLOOD BASALT|48.06|0.5|14.73||10.17|0.18|12.62|11.67|1.48|0.13||0.07||||0.97787610619469|0.5|46.9740250143618|0.420113027645579|12.3308333127611||0.208791627349877|9.92453286587815|0.174252453990991|18.7717422707258|9.79262969149551|1.23604643391127|0.108571646221936||0.058461655657966|1407.1623631488|1532.27205108096|0.917974007091564|0.279154792490757|4|2|Spinel Peridotite
CALLEGARO et al.,2013|s.CS49|198.5|3.5|36.1129|-78.7673|CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / UNITED STATES / COASTAL NEW ENGLAND DIKES|CONTINENTAL FLOOD BASALT|50.23|0.53|16.6||8.4|0.16|9.12|11.79|2.04|0.36||0.08|1.86080972733452|0.132968389233283|6.08122703303658|0.971607142857143|0.5|48.9583845568|0.45031458157562|14.0431836596247||0.223854532517491|8.58511877113179|0.160849116989351|15.4766718505848|10.0066824000465|1.72325753334219|0.304104270589799||0.067578726797733|1350.01936747853|1447.51251571479|0.912288348227325|0.266471634141016|3.3|1|Harzburgite
MARTYNOV et al.,2010|s.P-121/2|3.95|1.35|44|146|KURILE ARC / KURILE ARC / KUNASHIR / EKATERINA / PACIFIC OCEAN|CONVERGENT MARGIN|49.53|0.95|17.26||8.19|0.16|5.29|13.74|1.93|0.53||0.84|1.059|0.065|6.5|0.947802197802198|0.5|47.6067897535201|0.713547401047267|12.8633272594798||0.353107523174717|9.02822483534753|0.169349871643207|16.5024592329434|10.3100260671038|1.43473162047832|0.393993657437052||0.624442777824762|1371.78926371323|1474.09451656045|0.914579078046789|0.265698769319852|3.5|1.7|Harzburgite
SORBADERE et al.,2013|s.MTL 1|0.2|0.1|-13.583|167.616|NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / BANKS ISLANDS / MOTO LAVA / MOTO LAVA / PACIFIC OCEAN|CONVERGENT MARGIN|49.11|0.98|15.07||8.52|0.16|10.71|11.38|2.44|0.53||0.17|7||7.9|0.948239436619718|0.5|48.6984893763827|0.896998403687928|13.7594565767271||0.447010658281527|8.31352788215971|0.160930632693316|14.4497426720781|10.4093265183897|2.22593062491209|0.483501324263691||0.155085330424203|1337.21065875768|1420.72385510514|0.910646941422611|0.208045729348085|3.1|1.3|Spinel Peridotite
SORBADERE et al.,2013|s.MTL 3|0.2|0.1|-13.583|167.616|NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / BANKS ISLANDS / MOTO LAVA / MOTO LAVA / PACIFIC OCEAN|CONVERGENT MARGIN|49.03|1.02|15.11||8.56|0.16|10.6|11.34|2.48|0.56||0.18|7.8||8.1|0.946378504672897|0.5|48.6073387136822|0.930473157700131|13.748309759294||0.463635411985097|8.3457619250887|0.160993146054574|14.478554673507|10.3376664938804|2.25454082690792|0.509089864140499||0.163636027759446|1338.67940210178|1421.47786584587|0.910608427524702|0.201609310325457|3.1|1.3|Spinel Peridotite
LI et al.,2014|s.DL08-7|260||25.7|100.18|EMEISHAN / YUNNAN PROVINCE|CONTINENTAL FLOOD BASALT|44.2|1|8.4||10.53|0.2|20.9|8.6|1|0.5||0.1|8.3|||0.957264957264957|0.5|46.5262579959617|1.0929680185165|9.18542399718131||0.547261167185038|10.6958971712749|0.212940815545701|20.5864971051612|9.40151799418154|1.09452233437008|0.547261167185039||0.109452233437008|1444.50578539142|1578.1742927105|0.919975705809136|0.274688547854684|5|3|Garnet Peridotite
MANNING et al.,2014|s.I344|0.003||64.3585|-18.7901|ICELAND / ICELAND / VEIDIV諸N / EASTERN ICELAND RIFT ZONE / HELJARGJA/VEIDIV?||||||||||||||||||||||||||||||||||||||
HELJARGJA/VEIDIVATNAHRAUN FLOW / ATLANTIC OCEAN|OCEAN ISLAND|48.35|1.161|19.07||8.38|0.148|6.09|13.75|1.87|0.119||0.105|5.7|-0.1|2.2|0.937655131264916|0.5|46.9268701419077|0.922760118772767|15.0610169793916||0.457629868203775|8.81182541054604|0.154572815273227|15.0953543086872|10.9191918145498|1.47419096217237|0.093812152138242||0.082775428357272|1337.9955410561|1437.58607660525|0.910414117849366|0.146261243236399|3.3|2|Spinel Peridotite||||||
CALLEGARO et al.,2014|s.OF 12|199|8|42.48|1.22|EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN|INTRAPLATE VOLCANICS|50.208135346347|0.87085955451861|15.2343931603677||9.3|0.160891280901573|8.64790634845952|12.3986843344774|1.69941415452286|0.35194967697219||0.090501345507135|4.4|0.303814194247194|10.4|0.957861634458777|0.5|48.3826721317053|0.684900899880569|11.9093350834597||0.339526259992999|9.42821712002795|0.159900759514073|17.690226749112|9.7351021598463|1.3251177622625|0.274432672657915||0.070568401540607|1388.47069848964|1504.65317874006|0.915640721770802|0.291715515043623|3.9|1.3|Harzburgite
CALLEGARO et al.,2014|s.PIM 26|199|8|37.23|-8.2|CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / IBERIAN PENINSULA / PORTUGUESE LAVA FLOW|CONTINENTAL FLOOD BASALT|49.480704|1.028352|14.187264||9.72|0.179712|7.168512|13.288704|2.266368|0.529152||0.109824|4.93946278317152||15.58|0.952391111111111|0.5|47.5146529040538|0.74882768300724|10.2496090019039||0.370140923675999|10.0202880107923|0.179759475994693|19.167943863214|9.65730223852871|1.63149494513499|0.380921727278213||0.079059226416233|1421.62328536342|1542.34074844468|0.918506001732478|0.294007640792458|4.1|2|Spinel Peridotite
PACES et al.,1989|s.EH2-987|1100||47.25|-88.175|MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / KEWEENAW PENINSULA / PORTAGE LAKE VOLCANICS|CONTINENTAL FLOOD BASALT|48.19|0.93|16.4||8.478|0.13|12.66|10.62|2.12|0.22||0.16||0.54||0.950636942675159|0.5|48.0090917963159|0.905825334383731|15.9629712553695||0.452498084532645|8.09716123417724|0.129842346062546|13.6678648839333|10.3419596645121|2.06300201980474|0.214085115262757||0.155698265645641|1317.14346236381|1400.20885111971|0.908532619313388|0.158541795390777|2.9|1.6|Spinel Peridotite
SHARASKIN 1982|s.60-454A-8-1,17-21|0.005|0.005|18.013|144.532|MARIANA ARC / MARIANA TROUGH / SITE 454 / PACIFIC OCEAN|CONVERGENT MARGIN|49.1|0.88|16.33||8.17|0.13|10.63|11.38|1.84|0.33||0.1|||8.3|0.951529987760098|0.5|48.8744786835994|0.816766233857004|15.1230741249158||0.407188378290617|8.02657448638196|0.131292239901599|13.9636114969964|10.5562924953306|1.70278776376076|0.305391283717962||0.092542813247867|1318.26899304732|1407.98076334682|0.90971833159428|0.231502384271179|3|1.3|Harzburgite
WOOD et al.,1980|s.60-454A-11-1,40-42|1.4|0.2|18.013|144.532|MARIANA ARC / MARIANA TROUGH / SITE 454 / PACIFIC OCEAN|CONVERGENT MARGIN|51.5|0.96|15.2||7.67|0.12|8.9|11.41|3.36|0.23||0.11|0||2|0.94367666232073|0.5|50.6479479526788|0.871732011363747|13.7643669495364||0.434359553913185|7.56867492635232|0.121899852198458|12.8870340588266|10.3557964670497|3.0405168773923|0.208130619583401||0.099540731105105|1310.45710900335|1379.61881974844|0.908640897996038|0.218930078558101|2.6|1|Harzburgite
WOOD et al.,1980|s.60-454A-12-1,100-102|1.4|0.2|18.013|144.532|MARIANA ARC / MARIANA TROUGH / SITE 454 / PACIFIC OCEAN|CONVERGENT MARGIN|51.8|0.96|13.9||7.95|0.11|9.89|11.24|2.78|0.17||0.1||||0.94566037735849|0.5|51.2239058155385|0.879546458596753|12.7020781153138||0.438293910284791|7.8346035919076|0.111475069740097|13.7332914388842|10.2918130447996|2.53845223039941|0.155229093225863||0.091311231309331|1322.06988781504|1401.92945847748|0.909264573939144|0.262866891580823|3|1|Harzburgite
WOOD et al.,1980|s.60-454A-8-1,2-4|1.4|0.2|18.013|144.532|MARIANA ARC / MARIANA TROUGH / SITE 454 / PACIFIC OCEAN|CONVERGENT MARGIN|49.3|0.88|14.2||8.47|0.14|10.17|11.8|2.66|0.2||0.07|1||0|0.953246753246753|0.5|49.1826831209308|0.794349663260041|12.7779341660979||0.3955071259091|8.4552379214741|0.142352387040693|14.9755090292419|10.6427086794235|2.39102035208683|0.179775966322318||0.062921588212811|1345.68686569617|1434.46122509879|0.91176642627393|0.23938752986989|3.3|1|Spinel Peridotite
WOODHEAD et al.,1998|s.H3/3|1.3|1.3|-4.57|149.1|BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / WITU ISLANDS / UNDAKA / PACIFIC OCEAN|CONVERGENT MARGIN|49.2|1.15|14.4||9.36|0.18|10.8|11.4|2.15|0.19||0.11|3.501|0.215|2.6|0.944711538461538|0.5|48.3150892830469|0.98949814783488|12.3431526133769||0.49204458189375|9.09771700366722|0.178794688403945|16.6895564265827|9.79760947147246|1.8398188714288|0.162588644451848||0.094130267840543|1375.05953308552|1478.92384512811|0.914372606573868|0.268532236489901|3.6|1.2|Harzburgite
KERR et al.,1996|s.CUR-33|90||12.2|-69|LESSER ANTILLES / LESSER ANTILLES / CURACAO / CURACAO LAVA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN|CONVERGENT MARGIN|50.11|0.908|14.63||9.819|0.187|8.78|12.5|2.01|0.118||0.071|2.75|0.231|1.279|0.958386801099909|0.5|47.9846632546556|0.690331490996265|11.0505661358238||0.341855797495594|9.84137089040668|0.183238884480019|18.7665849164901|9.48557167217878|1.51350253957301|0.088852387895331||0.053462030004818|1409.63067919538|1532.14081301968|0.917468818320408|0.297640502509693|4|1.6|Harzburgite
KERR et al.,1997|s.AMA4|105.5|39.5|5|-77.1|CARIBBEAN-COLOMBIAN PLATEAU / ECUADOR / PACIFIC OCEAN|OCEANIC PLATEAU|49.91|0.92|14.36||9.65|0.171|9.06|12.75|1.62|0.3||0.081|4.4||5|0.957098445595855|0.5|48.130108768905|0.717353424783902|11.1292388220767||0.35549422116506|9.67739169629344|0.168565724371513|18.3514646941166|9.92398278621971|1.25195790932043|0.231844057281561||0.062597895466021|1399.44556410719|1521.56268471251|0.916827571865196|0.296782797134313|4|1.4|Harzburgite
KERR et al.,1997|s.AMA9|105.5|39.5|5|-77.1|CARIBBEAN-COLOMBIAN PLATEAU / ECUADOR / PACIFIC OCEAN|OCEANIC PLATEAU|50.24|0.99|14.36||9.54|0.18|8.78|12.85|1.81|0.04||0.087|3.4||1.5|0.953301886792453|0.5|48.3604879371082|0.771808581729413|11.1264901702713||0.382484587789396|9.58857646092001|0.178112522777349|18.0947888978553|10.0005384242802|1.39858000787638|0.030907845477931||0.0672245639145|1394.45410839331|1515.007566117|0.916223856660782|0.293116117168482|4|1.4|Harzburgite
